"'A`1
"'About`1
"Ha!`7
"Had`3
"Half`1
"Has`1
"Have`11
"Having`1
"He!`1
"He's`4
"He`42
"Her`3
"Here?"`2
"Here`12
"Hi!"`2
"His`6
"Ho!"`1
"Hold`1
"Holmes!"`1
"Holmes,"`4
"Holmes,`2
"Hotel`1
"How,`1
"How`21
"Hullo!`1
"Hum!"`2
"Hum!`3
"I'll`1
"I've`4
"IRENE`1
"I`349
"If`18
"Imitated."`1
"In`19
"Incredible`1
"Indeed!`5
"Indeed,"`1
"Indeed,`5
"Indeed.`1
"Indeed?`1
"Indirectly`1
"Information`1
"Inspector`1
"Introduce`1
"Irene's`1
"Irene`1
"Is`8
"It's`10
"It--it's`1
"It`124
"Its'`1
"Its`1
"JABEZ`1
"John`1
"Just`5
"Kindly`1
"L.`1
"Lady`2
"Last`3
"Leave`1
"Let`5
"Listen`1
"Lone`2
"Look`2
"Lord`2
"MY`1
"Many`2
"March,`1
"Married!`1
"May`2
"Miss`1
"Missing,"`1
"More`1
"Most`1
"Mr.`9
"Mrs.`4
"Murdered?"`1
"My`38
"Name`1
"Nay,`1
"Near`1
"Nearly`1
"Never."`2
"Never`5
"No,`39
"No--except`1
"No."`5
"No.`5
"No;`4
"No?"`1
"No`7
"None."`4
"None.`1
"None`4
"Nor`2
"Not`18
"Nothing,`1
"Nothing."`3
"Nothing?"`2
"Nothing`2
"Nous`1
"Now,`11
"Now`5
"Of`8
"Oh!`1
"Oh,`58
"On`11
"One?"`1
"One`10
"Only`5
"Or`1
"Oscillation`1
"Other`1
"Our`2
"Owe!"`1
"P,"`1
"Peculiar--that`1
"Pending`1
"Perfectly`1
"Perhaps,`1
"Perhaps`3
"Plain`2
"Please`1
"Pooh,`1
"Pray,`1
"Pray`19
"Precisely."`2
"Precisely.`4
"Precisely`4
"Proceed,`1
"Project`5
"Pshaw!`1
"Pshaw,`1
"Quite`14
"Read`1
"Really!`2
"Really,`2
"Remember,`1
"Right`1
"Rilchiam!"`1
"S.`1
"Sarasate`1
"Save,`1
"See`2
"Seeing`1
"Seven!"`1
"She`11
"Sherlock`1
"Shillings`1
"Should`1
"Showing`1
"Silence!`1
"Sir,`1
"Six`1
"Skip`1
"Small,`1
"Smart`1
"Snark"`1
"Snark,"`1
"So`12
"Sold`1
"Some`3
"Someone`1
"Sometimes`1
"Sophy`1
"Starving.`1
"Steer`1
"Still,`3
"Stoke`1
"Stolen,`1
"Stolen."`1
"Stop`1
"Subtle`1
"Such`2
"Suddenly,`1
"Surely.`1
"Surely`2
"TO`1
"Taking`1
"Tell`1
"Ten`1
"Terrible!`1
"Terse`1
"Texas,`1
"Thank`15
"That's`5
"That`41
"The`73
"Their`1
"Then,`11
"Then`39
"Theories`1
"There's`3
"There,"`1
"There,`1
"There`34
"These`2
"They`19
"Thing-um-a-jig!"`1
"Think`1
"Third`1
"This,`1
"This`29
"Threatens`1
"Through`1
"Tired-looking`1
"To`12
"Toasted-cheese."`1
"Transportation`1
"Try`1
"Tut!`1
"Two`2
"Under`1
"Undoubtedly.`1
"Unless`1
"Upon`1
"VIOLET`1
"Very,`1
"Very.`1
"Very`18
"Wait`1
"Walk`1
"Warm!`1
"Was`8
"Watson,`1
"We'll`1
"We're`1
"We`25
"Wedlock`1
"Well,"`2
"Well,`67
"Well."`1
"Well?"`2
"Well`2
"Were`3
"What!"`2
"What!`4
"What's`2
"What,`3
"What-was-his-name!"`1
"What-you-may-call-um!"`1
"What?"`1
"What`48
"Whatever`1
"When`17
"Where,`3
"Where`5
"Which`5
"Who`8
"Whose`1
"Why,"`3
"Why,`8
"Why?`1
"Why`8
"Will`3
"With`2
"Without,`1
"Witness:`8
"Witness`1
"Won't`1
"Would`1
"Yes,"`3
"Yes,`58
"Yes."`12
"Yes.`8
"Yes;`7
"Yes?"`1
"Yesterday,`1
"Yesterday."`1
"Yesterday`1
"Yet`1
"You'll`4
"You're`1
"You've`1
"You?`1
"You`112
"Your`22
"a`2
"allow`1
"and,`1
"and`11
"are`1
"because`3
"borogoves"`1
"borrow."`1
"but,`1
"but`13
"by`3
"can`1
"come`1
"did`1
"does`1
"else`1
"for`4
"formed`1
"frumious."`1
"fuming"`1
"fuming,"`1
"fuming-furious;"`1
"furious,"`1
"furious-fuming;"`1
"furious."`1
"g,"`1
"groves."`1
"he's`1
"he`1
"here's`1
"here`2
"i"`1
"if`2
"in`1
"is`5
"it's`2
"it`9
"just`1
"life`1
"my`4
"nothing`1
"o"`3
"of`1
"on`1
"over`1
"perhaps`2
"pray`1
"pull`1
"she`1
"slithy"`1
"slithy`1
"snarked."`1
"so`2
"stuff."`1
"t"`1
"that,`1
"that`22
"the`5
"they`1
"this`5
"to`3
"toves"`1
"we've`1
"well?"`1
"what`3
"when`2
"where's`1
"whether`1
"with`1
"worry".`1
"would,`1
"writhe";`1
"yet`1
"you're`1
"you`8
"your`2
#13]`1
#1661]`1
$5,000)`1
&`5
'60's`1
'77,`1
'82`1
'83.`1
'83`1
'84,`1
'84`1
'85,`2
'85.`1
'87`1
'89,`1
'89--there`1
'90,`1
'AS-IS'`1
'A`3
'American`1
'And`1
'Arms:`1
'But`1
'By`2
'Co.'`1
'Colonel`1
'Company.'`1
'Cooee!'`4
'Cooee'`2
'Drive`1
'Eg.'`1
'Encyclopaedia,'`1
'Encyclopaedia`1
'For`2
'Found`1
'Frisco,`2
'Frisco.`2
'From`1
'G'`1
'Gesellschaft,'`1
'H.`1
'He`1
'Here`1
'Hosmer`1
'How`1
'Hullo!'`1
'Hullo!`1
'I've`1
'I`20
'If`1
'Is`1
'It's`1
'It`3
'K.`2
'Letters,`1
'Lone`4
'Lost,`1
'May`1
'Mr.`1
'Mrs.`1
'My`1
'Not`1
'Oh,`1
'Omne`1
'P,'`1
'Papier.'`1
'Perhaps`1
'Pink`1
'Pon`1
'Pondicherry`1
'Put`1
'Remarkable`1
'Singular`1
'So`1
'Tell`1
'The`2
'There,`1
'There`4
'They`1
'This`1
'Tis`3
'Tragedy`1
'We`1
'What`2
'Where`1
'Which`1
'Who`1
'Why,`1
'Why`1
'You'll`1
'You`10
'Your`1
'actually`1
'and`7
'are`1
'band,'`1
'but`4
'can`1
'death`1
'did`1
'e's'`1
'e,'`1
'first`1
'get`1
'have`1
'here's`1
'his`1
'is`1
'it`1
'jumping`1
'my`1
'neither`1
'never`1
'please.'"`1
'r's'`1
'r.'`1
'remember`1
'sent`1
'sir'`1
'suicide.'`1
't'`1
'that`2
'the`3
'there`2
'to`2
'twas`1
'un'`1
'we'll`1
'we've`1
'we`2
'were`1
'wilful`1
'you`9
("That's`1
("the`1
($1`1
('tis`1
(3rd`1
(801)`1
(As`1
(Drawn`1
(For`1
(Forgetting`1
(Four`1
(Long`1
(On`1
(Seven`1
(So`3
(Some`1
(They`1
(This`1
(We`1
(a)`1
(after`1
(and`1
(any`1
(as`2
(available`1
(b)`1
(c)`1
(does`1
(for`1
(he`1
(if`1
(in`1
(merely`1
(now`1
(of`1
(or`3
(the`1
(trademark/copyright)`1
(which`1
(with`1
(www.gutenberg.net),`1
(www.gutenberg.org),`1
*****`2
***`6
-`7
1.2`1
1.A.`1
1.B.`1
1.C.`1
1.C`1
1.D.`1
1.E.1.`2
1.E.1`3
1.E.2.`1
1.E.3.`1
1.E.4.`1
1.E.5.`1
1.E.6.`1
1.E.7.`1
1.E.7`2
1.E.8.`2
1.E.8`2
1.E.9.`3
1.E.`1
1.E`1
1.F.1.`1
1.F.2.`1
1.F.3,`3
1.F.3.`2
1.F.4.`1
1.F.5.`1
1.F.6.`1
1.F.`1
1.`1
1/2`1
10,`1
1000`7
100`3
10s.,`1
10s.`1
1100`1
117,`2
11:15."`1
11:15.'`2
11:30."`1
120`2
12s.'"`1
13.txt`1
13.zip`1
14,000`1
140`1
1500`1
150`1
1661-8.txt`1
1661-8.zip`1
16A,`1
17`1
18,`1
1846.'`1
1858.`1
1869,"`1
1869,`1
1869`1
1870`1
1878,`1
1883--a`1
1883.`1
1884--there`1
1887`1
1888--I`1
1890.`2
1992`1
19th."`1
1s.,`1
2,000`1
2.`1
20%`1
2001,`1
2002`1
2008`1
200`1
2011`1
220`1
221B,`1
226`1
22nd,`1
22nd.`1
22nd`1
25,`1
250`1
25`1
26,`1
26s.`1
27,`1
270`1
27`1
29,`1
2`3
2nd."`1
2s.`2
3.`1
30,000`2
30`3
31`1
3`2
3rd,`1
3rd.`1
4,`1
4.'`1
4.`1
4000`1
40`1
42`1
4557`1
4700`1
4:35`1
4`6
4d.`1
4th,`1
5.`1
50,000`1
501(c)(3)`2
50`1
596-1887,`1
5:14`1
5:15`1
60`2
64-6221541.`1
6:30`1
6d.'"`1
6d.,`2
700`1
750`1
7`1
7s.`1
8,`1
809`1
84116,`1
88`1
8d.'`1
8s.,`1
9,`1
90`2
99712.,`1
9th`1
A,`2
A.,`1
A.`1
ACTUAL,`1
ADLER."`1
ADVENTURES`3
ADVENTURE`12
AGREEMENT`1
AGREE`2
AK,`1
AND`1
ANYTHING`1
ANY`3
ARTHUR`1
ASCII"`2
A`73
Abbots`1
Aberdeen`2
About`7
Above`2
Absolutely`1
Accustomed`1
Across`1
Additional`1
Adler,`5
Adler."`1
Adler.`2
Adler?"`2
Adler`5
Admiralty`1
Adventure`6
Adventures`3
Affairs.`1
Afghan`1
Afghanistan`1
After`4
Again,`1
Again`3
Against`2
Agony`2
Agra`1
Ah!`1
Ah,`5
Air`1
Albert`3
Aldersgate;`1
Aldershot,`1
Alexander`1
Alibi`1
Alice's`1
Alice,`1
Alice.`2
Alice?"`1
Alice`6
Alicia`1
All`18
Allegro,`1
Allegro.`1
Aloysius`5
Alpha,`2
Alpha."`2
Alpha`3
Already`1
Also,`1
Altogether,`1
Amateur`1
America.`4
America`6
American,`1
American.`2
American`6
Americans`1
Amid`1
Among`2
Amoy`1
An`6
And,`6
And`83
Anderson",`1
Andover`1
Angel'`1
Angel's`1
Angel,`3
Angel--was`1
Angel."`5
Angel.`1
Angel?"`3
Angel?`1
Angel`5
Another,`1
Anstruther`1
Any`2
Anybody`1
Anyhow,`1
Apache`1
Apaches,`1
Apply`1
April`3
Arabian`1
Archery`1
Archie,`1
Architecture`1
Archive`13
Are`4
Arizona,`1
Armitage,`1
Armitage--Percy`1
Armitage--the`1
Armour`1
Arms`1
Arnsworth`1
Arthur's.`1
Arthur's`2
Arthur,`3
Arthur.`2
Arthur`13
Artillery.`1
As`72
Assizes,`1
Assizes."`1
Assizes.`4
Assizes`1
Astonishment`1
At`31
Atkinson`1
Atlantic.`1
Atlantic`1
Attending`1
Attica,`1
Auckland.`1
Augustine.`1
Australia."`1
Australia`1
Australian`2
Australians.`1
Author:`1
Avenue,`2
Avenue.`2
Azure,`1
B's`1
B,`1
B."`1
B.'`1
B.`1
BACHELOR`1
BAKER'S`1
BAND`1
BANKER'S`1
BARRISTER'S`1
BEAVER'S`1
BEECHES`1
BEFORE`1
BELLMAN'S`1
BERYL`1
BE`1
BLUE`1
BOHEMIA`1
BOSCOMBE`1
BREACH`2
BUT`1
B`2
Bachelor`1
Backwater's`1
Backwater,`1
Backwater`1
Baker'`1
Baker,"`1
Baker,`5
Baker--their`1
Baker.`1
Baker:`1
Baker?"`1
Baker`33
Bakers,`1
Bakers`1
Ballarat."`1
Ballarat`4
Balmoral,`2
Balmoral.'`1
Balmoral`1
Balzac`1
Band`1
Bandersnatch`3
Bank,`1
Bank.`1
Bank`2
Banker,`3
Banker`3
Bankers'`1
Bar`1
Barque`1
Barrister,`2
Barrister`2
Barton,`1
Baxter's`1
Be`2
Beaver's`2
Beaver,`3
Beaver`12
Beavers.`1
Because`1
Becher's."`1
Becher`2
Beeches,`4
Beeches.`1
Beeches`3
Behind`1
Bellman,`5
Bellman`27
Bengal`1
Berkshire.`1
Berkshire`3
Bermuda`1
Beryl`2
Beside`2
Besides,`9
Better`1
Between`3
Beyond`3
Bezonian?`1
Bible.`1
Bill,"`1
Billiard-marker,`1
Billiard-marker`1
Birchmoor,`1
Black`3
Bloomsbury`1
Blue`1
Bohemia,"`1
Bohemia,`4
Bohemia."`2
Bohemia`4
Bohemian`4
Bonnets`2
Boo-"`1
Boojum!`1
Boojum,`2
Boojums--"`1
Boone,`3
Boone--the`1
Boone."`1
Boone`3
Boots--`1
Boots`4
Bordeaux,`1
Born`2
Boscombe`14
Boswell.`1
Botany`1
Both`5
Bow`2
Bradshaw,"`1
Bradshaw.`1
Bradstreet,`5
Bradstreet."`1
Bradstreet.`2
Bradstreet`4
Breckinridge,"`1
Breckinridge,`2
Breckinridge;`1
Breckinridge`1
Bridecake--for`1
Bridge,`1
Bridge.'`1
Bridge.`1
Bridge`1
Briefly,`1
Brimming`1
Bring`1
Briony`11
Bristol,`2
Bristol.`1
Bristol?`1
Bristol`2
Britain`1
Britannica."`1
Britannica.'`1
British`4
Brixton`6
Broker,`1
Broker`1
Burnwell,`1
Burnwell.`1
Burnwell`5
But,`5
But`100
Butcher,`2
Butcher:`1
Butcher`10
By-the-way,`1
By`16
C'--that`1
C.`1
CAN`1
CARBUNCLE`1
CASE`1
CONAN`1
CONSEQUENTIAL,`1
CONTRACT`1
COPPER`1
CORONET`1
C`1
Cal.,`1
Calcutta,`1
Calhoun,`1
Calhoun?"`1
California,`1
California`2
Californian`1
Camberwell."`1
Camberwell`1
Can`3
Cannon`1
Capital!`1
Capital`1
Captain`1
Carbuncle`1
Carefully`1
Carlo,`1
Carlsbad.`1
Carolinas,`1
Carroll`5
Case`1
Cassel-Felstein,`1
Castle`1
Catherine`2
Cedars,`1
Cedars?"`1
Cedars`1
Chamber,`1
Chance`1
Charing`2
Charles`1
Charming`1
Chesterfield,`1
Chief`1
China,`1
China.`2
China?"`1
China`1
Chinese`1
Christ's`1
Christmas,`2
Christmas.`1
Christmas`7
Chronicle,"`1
Chronicle`1
Chubb`1
Church`3
Circumstantial`1
City,`3
City.`6
City`7
Civil`1
Clair's`4
Clair,`7
Clair.`3
Clair`13
Clara`1
Clark`1
Clay's`1
Clay,"`2
Clay,`2
Clay.`1
Clay`1
Clearly`1
Close`1
Clotilde`1
Club`1
Cobb,`1
Coburg`3
Cocksure,"`1
Code,`2
College`1
Colonel!`1
Colonel`12
Colony`1
Come!'`1
Come!`1
Come,`1
Come`6
Commons,`1
Company.`1
Compliance`1
Conan`3
Consider`1
Contact`1
Continent."`1
Continental`1
Contralto--hum!`1
Contributions`1
Conveyed`1
Cook,`1
Copper`8
Copyright`1
Cornwall`1
Coroner:`8
Coronet?'`1
Coronet`1
Cosmopolitan,"`1
Cosmopolitan.`1
Cosmopolitan`1
Could`4
Count`3
Countess,`1
Countess`7
Counties`1
Court,`1
Court.`1
Court`5
Covent`3
Coventry,`1
Crane`1
Creating`1
Crewe.`1
Crime`1
Cross,`1
Cross.`1
Cross`1
Crowder,`3
Crown."`1
Crown`3
Cusack,`1
Cusack--and`1
Cusack`1
Cuvier`1
D'you`1
D.D.,`1
DAMAGE.`1
DAMAGES`2
DEAREST`1
DEAR`2
DIRECT,`1
DISCLAIMER`1
DISSOLVED.`1
DISTRIBUTE`1
DISTRIBUTOR`1
DONATIONS`1
DOYLE`1
DREAM`1
Daily`1
Damage`1
Dane,`1
Darlington`1
Date:`1
De`1
December`1
Deeply`1
Defect`1
Depend`1
Describe`1
Desertion`1
Despite`1
Devonshire`1
Did`11
Director`1
Disregarding`1
Distinguishing`1
Division,`1
Do`18
Dock`1
Dockyard,`1
Doctor,"`5
Doctor,`12
Doctor--as`1
Doctor.`1
Doctor;`1
Doctors'`1
Does`3
Domain`1
Don't`4
Donations`2
Doran's`2
Doran,`6
Doran.`2
Doran?"`1
Doran`1
Down`1
Doyle`3
Dr.`30
Draw`2
Dressed`1
Drink`1
Duchess`2
Duke,`1
Duke`5
Duncan`7
Dundas`1
Dundee,'`1
Dundee,`1
Dundee.`1
Dundee`2
During`4
Dutch--`1
EBOOK`2
EBook`1
EDITION`1
EIN`1
END`1
ENGINEER'S`1
EVEN`1
EXCEPT`1
EXPRESS`1
Each`1
Early`1
Easier`1
East,`1
East`1
Eastern`2
Echo,`1
Edgeware`2
Edward`2
Eglonitz--here`1
Egria.`1
Eight.`1
Eight`1
Eighth`1
Eley's`1
Elias`3
Elise!'`1
Email`1
Embankment`1
Encyclopaedia'`1
End.`1
End`2
Endell`1
Engineer's`1
England,`5
England--a`1
England."`1
England.`2
England?"`1
England?'`1
England`9
English,`1
English`9
Englishman,`2
Englishman.`1
Enveloped`1
Equators,`1
Erect`1
Esq.,`1
Esq.`1
Etherege,`1
Eton`1
Europe.`3
Europe`3
European`1
Eustace`1
Even`6
Evening`1
Eventually,`1
Every`6
Everybody`1
Evidence`1
Evidently`1
Exactly`1
Except`2
Executive`1
Eyford,`3
Eyford."`1
Eyford`5
Ezekiah`2
F.H.M.'`1
F3.`1
FATE`1
FITNESS`1
FIVE`1
FOR`3
FOUNDATION,`1
FULCRUM`1
FULL`2
Faces`1
Fairbank,`1
Fairbank`1
Fairbanks,`1
Far`2
Fareham`1
Farintosh,`1
Farm-house`1
Farm.`2
Farm`4
Farrington`1
Fashionable`1
Father`1
February`2
Fell`1
Fenchurch`2
Ferguson.`1
Ferguson`3
Fetch`1
Fifth`1
Filled`1
Finally,`1
Finally`3
Find`1
Finns`1
Fire,`1
First`1
Fit`8
Fits`2
Five`2
Flaubert`1
Fleet`2
Flora`8
Florida,`1
Florida.`1
Florida`1
Folk`1
For`27
Fordham,`1
Fordham`1
Foreign`1
Forgery."`1
Foundation"`1
Foundation's`3
Foundation,`4
Foundation."`1
Foundation.`1
Foundation`14
Four,`1
Four."`1
Four`1
Fowler."`1
Fowler`4
France,`1
France.`1
France?"`1
France`4
Francis`3
Francisco,`2
Franco-Prussian`1
Frank's`1
Frank.`2
Frank;`1
Frank`14
Freebody,`1
Freemason,`1
Freemasonry?"`1
French,`1
French.`1
French`3
Frenchman`1
Fresh`1
Fresno`2
Friday,`3
Friday.`1
Friday`1
Fritz!'`1
From`13
Full`1
GIVE`1
GUTENBERG-tm`1
GUTENBERG`3
Gang.`1
Garden."`1
Garden.'`1
Garden`1
Gate,`1
Gate`1
Gazetteer."`1
General`3
George's,`3
George's`1
George`10
Georgia,`1
Georgia."`1
German,`3
German-speaking`1
German.`1
German`10
Germans.`1
Get`2
Getting`1
Give`4
Giving`1
Gladstone`2
Globe,`1
God!"`3
God!`5
God's`2
God,'`1
God,`4
God`7
Godfrey`5
Gold,`1
Gone,`1
Gone`1
Good-afternoon,`2
Good-bye,`2
Good-bye.`1
Good-bye;`1
Good-day,`1
Good-day`1
Good-night."`1
Good`1
Goodge`2
Goodwins`1
Gordon`2
Gottsreich`1
Grand`1
Gravesend.`1
Gravesend`3
Great`3
Greek:`1
Greenwich.`1
Gregory`1
Grice`1
Grimesby`8
Grit`1
Gross`1
Grosvenor`2
Gustave`1
Gutenberg"),`1
Gutenberg"`4
Gutenberg's`1
Gutenberg-tm's`1
Gutenberg-tm,`1
Gutenberg-tm.`1
Gutenberg-tm`53
Gutenberg:`1
Gutenberg`22
H.`2
HAVE`1
HOLMES,--You`1
HOLMES:--I`1
HOLMES:--Lord`1
HOLMES`3
HUNTER."`2
HUNTER:--Miss`1
HUNTING`5
H`1
Ha!`7
Ha,`2
Had`6
Hafiz`1
Hague`1
Hail.`1
Half`1
Halifax,`1
Hall,`1
Hall."`1
Hall`2
Hampshire`3
Hankey's`1
Hanover`2
Hardy,`2
Hare`1
Harley`1
Harris`1
Harrow,`2
Harrow.`1
Hart,`1
Hart`1
Has`3
Hatherley's`1
Hatherley,"`1
Hatherley,`5
Hatherley.`1
Hatherley?'`1
Hatherley`9
Hatty`3
Have`8
Having`9
Hay`1
Hayling,`1
He'd`1
He'll`1
He's`4
He`264
Head`1
Heaven!'`1
Heaven`2
Heavy`1
Hebrew--I`1
Hebrew`1
Heh?'`1
Helen!`1
Helen,'`1
Helen`2
Helm,"`1
Helm`1
Hence,`1
Hence`1
Henry`10
Her`11
Hercules.`1
Here's`1
Here,`1
Here`17
Hereford`2
Herefordshire.`1
Herefordshire`1
Hers`1
High`1
Highness`1
Hill.`1
His`50
History--I`1
History."`1
Hitherto`1
Holborn,`1
Holborn.`1
Hold`1
Holder,"`3
Holder,'`1
Holder,`5
Holder.`5
Holder?"`1
Holder?`1
Holder`2
Holland,`1
Holland.`1
Holmes!"`4
Holmes!`1
Holmes'`17
Holmes,"`11
Holmes,`127
Holmes--a`1
Holmes."`5
Holmes.'"`1
Holmes.`78
Holmes;`7
Holmes?"`4
Holmes?`1
Holmes`197
Honoria`1
Hood,`1
Hoods--`1
Hopkins,`2
Horace,`1
Horner,`5
Horner`8
Horsham,`5
Horsham."`1
Horsham.`2
Horsham`2
Hosmer--Mr.`1
Hosmer.`1
Hosmer`20
Hotel.`1
Hotel`3
House.`2
House`2
How`19
However,`8
However`2
Hudson`4
Hugh`4
Hum!`2
Human`1
Humpty-Dumpty's`1
Hundred`1
Hunter's`1
Hunter,`4
Hunter.'`2
Hunter.`4
Hunter;`1
Hunter?'`1
Hunter`6
Hunting`3
Hyde`1
I'd`4
I'll`17
I'm`4
I've`3
I,`33
I."`3
I.`25
I;`8
I?`1
IDENTITY`1
IF`1
II.`3
III.`3
IMPLIED,`1
INCIDENTAL`1
INCLUDING`1
INDEMNITY`1
INDIRECT,`1
IN`2
IRS.`1
IS`1
IV.`2
IX.`2
I`2533
Identity`1
If,`1
If--and`1
If`63
Imagine,`1
Imperial`1
Impossible!"`1
In`53
Indeed,`3
India!'`1
India,`1
India.`1
India`1
Indian`5
Indians,`1
Information`4
Inn,`3
Inn.`1
Inner`1
Insensibly`1
Insolvency`1
Inspector`5
Instead`1
Instructions`1
Internal`1
International`1
Irene,`1
Irene`13
Irish-setter,`1
Is`5
Isa.`1
Isa`3
Isle`1
It's`9
It`290
Italian`1
Its`8
J.`1
JEPHRO`1
Jabberwock,`1
Jabez`8
Jack,'`1
Jack-in-office!"`1
Jack`2
Jackson's`1
James's,`1
James's`2
James.`1
James`17
Jane,`1
January,`2
January`2
Jem.'`1
Jem;`1
Jem?'`1
Jeremiah`1
Jersey`1
Jewel`1
Jezail`1
John's`1
John,'`2
John,`1
John;`1
John?'`1
John`19
Jones,`4
Jones.`1
Jones?"`1
Jones`5
Jose`2
Joseph.`1
Jove!"`1
Jove,`1
Jubjub!"`1
Jubjub!`2
Jubjub's`1
Jubjub,`1
Jubjub`1
Judge:`1
Judge`6
Julia`3
Jump,`1
Jump`1
June,`1
June`2
Jury`4
Juryman:`1
Just`9
Justice`1
K.!'`1
K.';`1
K.,'`1
K.,`1
K.`12
KIND,`1
K`3
Kate!`1
Kate--poor`1
Kate.`1
Kate`1
Keep`1
Kensington`1
Kent."`1
Kent.`2
Kilburn,`1
Kilburn.`2
Kill`1
Kindly`5
King's`1
King.`1
King;`1
King`21
Klan.`1
Klan?"`1
Klux`2
Knowing`1
Known`1
Kramm,`1
Kramm."`1
Ku`1
LANDING`1
LEAGUE:`1
LEAGUE`2
LESSON`1
LIABILITY,`1
LIABLE`1
LICENSE`2
LIMITED`3
LIP`1
La`1
Lady`5
Lake`1
Lancaster`2
Lane,`3
Lane.`1
Lane?"`2
Lane`2
Langham`1
Language:`1
Large`2
Lascar,"`1
Lascar,`3
Lascar`8
Leadenhall`5
League,`2
League."`1
League.'`1
League.`2
League`7
Leatherhead,`2
Leatherhead.`1
Leatherhead`1
Leave`1
Lebanon,`1
Led`1
Lee,"`1
Lee,`2
Lee."`1
Lee.`1
Lee`2
Left`1
Lesson`1
Lestrade!`2
Lestrade's`1
Lestrade,"`3
Lestrade,`8
Lestrade.`3
Lestrade`21
Let's`1
Let`15
Lewis`5
License.`2
License`8
Light`1
Like`1
Lines?"`1
Lip`1
Listen`1
Literary`13
Living`1
Lloyd's`1
Local`1
Lodge,`4
Lodge.`3
Lodge`4
Logic`1
London,`8
London--eastern`1
London--quite`1
London."`2
London.'`1
London.`8
London`20
Londoners,`1
Look`3
Looking`1
Lord,`1
Lord`35
Lordship.`1
Lothman`1
Louisiana,`1
Lucy,`1
Lucy`2
